"","school","sex","address","famsize","Pstatus","schoolsup","famsup","paid","activities","nursery","higher","internet","romantic","bin_Mjob_at_home","bin_Mjob_health","bin_Mjob_other","bin_Mjob_services","bin_Mjob_teacher","bin_Fjob_teacher","bin_Fjob_other","bin_Fjob_services","bin_Fjob_health","bin_Fjob_at_home","bin_reason_course","bin_reason_other","bin_reason_home","bin_reason_reputation","bin_guardian_mother","bin_guardian_father","bin_guardian_other","age","Medu","Fedu","traveltime","studytime","famrel","freetime","goout","Dalc","Walc","health","absences","failures","G2","G1","G3","result"
"1","GP","F","U","GT3","A","yes","no","no","no","yes","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","yes","no","no","no","yes","no","no",18,4,4,2,2,4,3,4,1,1,3,6,0,6,5,6,"fail"
"2","GP","F","U","GT3","T","no","yes","no","no","no","yes","yes","no","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no",17,1,1,1,2,5,3,3,1,1,3,4,0,5,5,6,"fail"
"3","GP","F","U","LE3","T","yes","no","yes","no","yes","yes","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","no","no","yes","no","no",15,1,1,1,2,4,3,2,2,3,3,10,3,8,7,10,"pass"
"4","GP","F","U","GT3","T","no","yes","yes","yes","yes","yes","yes","yes","no","yes","no","no","no","no","no","yes","no","no","no","no","yes","no","yes","no","no",15,4,2,1,3,3,2,2,1,1,5,2,0,14,15,15,"pass"
"5","GP","F","U","GT3","T","no","yes","yes","no","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no",16,3,3,1,2,4,3,2,1,2,5,4,0,10,6,10,"pass"
"6","GP","M","U","LE3","T","no","yes","yes","yes","yes","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","yes","no","no",16,4,3,1,2,5,4,2,1,2,5,10,0,15,15,15,"pass"
"7","GP","M","U","LE3","T","no","no","no","no","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no",16,2,2,1,2,4,4,4,1,1,3,0,0,12,12,11,"pass"
"8","GP","F","U","GT3","A","yes","yes","no","no","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","no","yes","no","no",17,4,4,2,2,4,1,4,1,1,1,6,0,5,6,6,"fail"
"9","GP","M","U","LE3","A","no","yes","yes","no","yes","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","yes","no","yes","no","no",15,3,2,1,2,4,2,2,1,1,1,0,0,18,16,19,"pass"
"10","GP","M","U","GT3","T","no","yes","yes","yes","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no",15,3,4,1,2,5,5,1,1,1,5,0,0,15,14,15,"pass"
"11","GP","F","U","GT3","T","no","yes","yes","no","yes","yes","yes","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","yes","no","no",15,4,4,1,2,3,3,3,1,2,2,0,0,8,10,9,"fail"
"12","GP","F","U","GT3","T","no","yes","no","yes","yes","yes","yes","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","yes","no","yes","no",15,2,1,3,3,5,2,2,1,1,4,4,0,12,10,12,"pass"
"13","GP","M","U","LE3","T","no","yes","yes","yes","yes","yes","yes","no","no","yes","no","no","no","no","no","yes","no","no","yes","no","no","no","no","yes","no",15,4,4,1,1,4,3,3,1,3,5,2,0,14,14,14,"pass"
"14","GP","M","U","GT3","T","no","yes","yes","no","yes","yes","yes","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no",15,4,3,2,2,5,4,3,1,2,3,2,0,10,10,11,"pass"
"15","GP","M","U","GT3","A","no","yes","no","no","yes","yes","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","no","yes",15,2,2,1,3,4,5,2,1,1,3,0,0,16,14,16,"pass"
"16","GP","F","U","GT3","T","no","yes","no","no","yes","yes","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no",16,4,4,1,1,4,4,4,1,2,2,4,0,14,14,14,"pass"
"17","GP","F","U","GT3","T","no","yes","yes","yes","yes","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","yes","no","no",16,4,4,1,3,3,2,3,1,2,2,6,0,14,13,14,"pass"
"18","GP","F","U","GT3","T","yes","yes","no","yes","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","yes","no","no",16,3,3,3,2,5,3,2,1,1,4,4,0,10,8,10,"pass"
"19","GP","M","U","GT3","T","no","yes","no","yes","yes","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","yes","no","no",17,3,2,1,1,5,5,5,2,4,5,16,3,5,6,5,"fail"
"20","GP","M","U","LE3","T","no","no","yes","yes","yes","yes","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","no","yes","no","no","yes","no",16,4,3,1,1,3,1,3,1,3,5,4,0,10,8,10,"pass"
"21","GP","M","U","GT3","T","no","no","no","no","yes","yes","yes","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","yes","no","no",15,4,3,1,2,4,4,1,1,1,1,0,0,14,13,15,"pass"
"22","GP","M","U","GT3","T","no","yes","yes","no","yes","yes","yes","no","no","yes","no","no","no","no","no","no","yes","no","no","yes","no","no","no","yes","no",15,4,4,1,1,5,4,2,1,1,5,0,0,15,12,15,"pass"
"23","GP","M","U","LE3","T","no","no","no","yes","yes","yes","yes","no","no","no","no","no","yes","no","yes","no","no","no","yes","no","no","no","yes","no","no",16,4,2,1,2,4,5,1,1,3,5,2,0,15,15,16,"pass"
"24","GP","M","U","LE3","T","no","yes","no","yes","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","yes","yes","no","no",16,2,2,2,2,5,4,4,2,4,5,0,0,13,13,12,"pass"
"25","GP","F","R","GT3","T","yes","yes","yes","yes","yes","yes","yes","no","no","no","no","yes","no","no","no","no","yes","no","yes","no","no","no","yes","no","no",15,2,4,1,3,4,3,2,1,1,5,2,0,9,10,8,"fail"
"26","GP","F","U","GT3","T","no","yes","yes","no","no","yes","yes","no","no","no","no","yes","no","no","no","yes","no","no","no","no","yes","no","yes","no","no",16,2,2,1,1,1,2,2,1,3,5,14,2,9,6,8,"fail"
"27","GP","M","U","GT3","T","no","yes","yes","no","yes","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","yes","no","yes","no","no",15,2,2,1,1,4,2,2,1,2,5,2,0,12,12,11,"pass"
